placeName,placeTypeHint,lat,lng,plusCode,googleMapsUrl
AVIA,HVO_TANKSTELLE,47.842671,9.002930,,"https://www.google.com/maps/search/?api=1&query=47.8426714,9.0029298"
AVIA,HVO_TANKSTELLE,47.803613,10.300143,,"https://www.google.com/maps/search/?api=1&query=47.8036134,10.3001431"
AVIA,HVO_TANKSTELLE,48.113803,11.616934,,"https://www.google.com/maps/search/?api=1&query=48.1138034,11.6169335"
AVIA,HVO_TANKSTELLE,47.389011,11.785828,,"https://www.google.com/maps/search/?api=1&query=47.3890111,11.7858283"
AVIA,HVO_TANKSTELLE,52.290876,15.650454,,"https://www.google.com/maps/search/?api=1&query=52.2908762,15.650454"
AVIA,HVO_TANKSTELLE,50.295193,8.568378,,"https://www.google.com/maps/search/?api=1&query=50.2951926,8.568378"
AVIA,HVO_TANKSTELLE,48.841074,9.231265,,"https://www.google.com/maps/search/?api=1&query=48.841074,9.2312649"
AVIA,HVO_TANKSTELLE,48.805043,8.444797,,"https://www.google.com/maps/search/?api=1&query=48.8050427,8.4447966"
AVIA,HVO_TANKSTELLE,48.818690,15.276930,,"https://www.google.com/maps/search/?api=1&query=48.8186901,15.2769296"
AVIA,HVO_TANKSTELLE,49.212829,9.585517,,"https://www.google.com/maps/search/?api=1&query=49.2128285,9.5855169"
AVIA,HVO_TANKSTELLE,50.002500,10.112818,,"https://www.google.com/maps/search/?api=1&query=50.0025,10.1128178"
AVIA,HVO_TANKSTELLE,49.894868,10.922920,,"https://www.google.com/maps/search/?api=1&query=49.8948683,10.9229204"
AVIA,HVO_TANKSTELLE,49.019993,10.951135,,"https://www.google.com/maps/search/?api=1&query=49.019993,10.9511347"
AVIA,HVO_TANKSTELLE,48.032586,11.584710,,"https://www.google.com/maps/search/?api=1&query=48.0325862,11.5847098"
AVIA,HVO_TANKSTELLE,51.125744,11.427375,,"https://www.google.com/maps/search/?api=1&query=51.1257442,11.4273747"
AVIA,HVO_TANKSTELLE,48.927456,10.964577,,"https://www.google.com/maps/search/?api=1&query=48.9274562,10.9645768"
AVIA,HVO_TANKSTELLE,50.402377,10.004797,,"https://www.google.com/maps/search/?api=1&query=50.4023769,10.0047973"
AVIA,HVO_TANKSTELLE,48.996096,11.210374,,"https://www.google.com/maps/search/?api=1&query=48.9960963,11.2103736"
